Feature Name,SOLIDWORKS Product
3diws,3DInstant Website
animator,SOLIDWORKS Animator
cae_cosmosfloworkspe,SOLIDWORKS Flow Simulation
cae_cosmosfloworksstd,SOLIDWORKS Flow Simulation Standard
cae_cosmosmotion,SOLIDWORKS Motion
cae_cwadvpro,SOLIDWORKS Simulation Premium
cae_cwdesigner,SOLIDWORKS Simulation
cae_cwpro,SOLIDWORKS Simulation Professional
circuitworks,CircuitWorks
designchecker,SOLIDWORKS Design Checker
dwgeditor,SOLIDWORKS 2D Editor
edrw,eDrawings Professional
elec2d,SOLIDWORKS Electrical
elec3d,SOLIDWORKS Electrical 3D
elecpro,SOLIDWORKS Electrical Professional
featureworks,FeatureWorks
harnessing,SOLIDWORKS Harnessing
pdmworks,SOLIDWORKS Workgroup PDM
pdmworks_as,SOLIDWORKS Workgroup PDM for SOLIDWORKS Explorer
pdmworks_sa,SOLIDWORKS Workgroup PDM Contributor
photoview,PhotoView 360
photoworks,SOLIDWORKS PhotoWorks
piping,SOLIDWORKS Routing
plastics_pro,SOLIDWORKS Plastics Professional
plastics_premium,SOLIDWORKS Plastics Premium
scanto3d,ScanTo3D
SOLIDWORKS,SOLIDWORKS Standard
swcomposer,SOLIDWORKS Composer
swcomposer_check,3DVIA Check
swcomposer_pathplanning,3DVIA Path Planning
swcomposer_playerpro,SOLIDWORKS Composer Player Pro
swcomposer_sync,3DVIA Sync
swcomposer_syncenterprise,3DVIA Enterprise Sync
swepdm_cadeditor,SOLIDWORKS Enterprise PDM CAD Editor
swepdm_contributor,SOLIDWORKS Enterprise PDM Contributor
swepdm_viewer,SOLIDWORKS Enterprise PDM Viewer
swepdm_processor,SOLIDWORKS Enterprise PDM Processor License
swoffice,SOLIDWORKS Office
swofficepremium,SOLIDWORKS Premium
swofficepremium_cwpro,SOLIDWORKS Premium with Simulation Professional
swofficepremium_cwadvpro,SOLIDWORKS Premium with Simulation Premium
swofficepro,SOLIDWORKS  Professional
swsustainability,SOLIDWORKS Sustainability
taskscheduler,SOLIDWORKS Task Scheduler
toolbox,SOLIDWORKS Toolbox
utilities,SOLIDWORKS Utilities
